wl_micron nw
1.98959 1.309512
1.9892 1.309526
1.98844 1.309552
1.98806 1.309566
1.98768 1.309578
1.9873 1.309591
1.98692 1.309602
1.98654 1.309613
1.98616 1.309623
1.98578 1.309636
1.9854 1.309647
1.98501 1.30966
1.98425 1.309688
1.98388 1.309698
1.9835 1.309709
1.98312 1.309721
1.98274 1.309735
1.98236 1.309748
1.98198 1.30976
1.9816 1.309772
1.98122 1.309785
1.98084 1.309796
1.98009 1.30982
1.97971 1.309833
1.97933 1.309844
1.97895 1.309856
1.97857 1.309866
1.9782 1.309877
1.97782 1.309887
1.97744 1.309898
1.97707 1.309911
1.97669 1.309925
1.97594 1.309946
1.97556 1.309957
1.97518 1.30997
1.97481 1.309979
1.97443 1.30999
1.97405 1.31
1.97368 1.31001
1.9733 1.310019
1.97293 1.31003
1.97255 1.310041
1.9718 1.310057
1.97143 1.310066
1.97105 1.310073
1.97068 1.310082
1.9703 1.310091
1.96993 1.310101
1.96955 1.310109
1.96918 1.310118
1.96843 1.310138
1.96806 1.310149
1.96769 1.310161
1.96731 1.31017
1.96694 1.310178
1.96657 1.310185
1.96619 1.310194
1.96582 1.310201
1.96545 1.31021
1.96507 1.310218
1.96433 1.31023
1.96396 1.310236
1.96359 1.310243
1.96321 1.310251
1.96284 1.310258
1.96247 1.310268
1.9621 1.310276
1.96173 1.310284
1.96136 1.310288
1.96099 1.310294
1.96024 1.310308
1.95987 1.310314
1.9595 1.310325
1.95913 1.310336
1.95876 1.310345
1.95839 1.310353
1.95802 1.310364
1.95765 1.310373
1.95728 1.310382
1.95691 1.310389
1.95618 1.310405
1.95581 1.310415
1.95544 1.310423
1.95507 1.310431
1.9547 1.310437
1.95433 1.310446
1.95396 1.310453
1.9536 1.31046
1.95323 1.310465
1.95286 1.310471
1.95212 1.310479
1.95176 1.310483
1.95139 1.310487
1.95102 1.310491
1.95066 1.310494
1.95029 1.310495
1.94992 1.310497
1.94955 1.3105
1.94919 1.310505
1.94882 1.310507
1.94809 1.310515
1.94772 1.310519
1.94736 1.310522
1.94699 1.310524
1.94663 1.310523
1.94626 1.310527
1.9459 1.31053
1.94553 1.310533
1.9448 1.310543
1.94444 1.310544
1.94407 1.310546
1.94371 1.310549
1.94334 1.310552
1.94298 1.310552
1.94261 1.310554
1.94225 1.310555
1.94189 1.310557
1.94152 1.310557
1.9408 1.310556
1.94043 1.310557
1.94007 1.310557
1.93971 1.310559
1.93934 1.310558
1.93898 1.310558
1.93862 1.310558
1.93826 1.31056
1.93789 1.310558
1.93753 1.310557
1.93681 1.310552
1.93645 1.310548
1.93608 1.310545
1.93572 1.310543
1.93536 1.310543
1.935 1.310541
1.93464 1.310542
1.93428 1.31054
1.93392 1.31054
1.93356 1.310539
1.93284 1.310537
1.93248 1.310538
1.93212 1.310538
1.93176 1.31054
1.9314 1.310539
1.93104 1.310539
1.93068 1.310539
1.93032 1.310543
